config,ndcg,sim,popularity,item_collab,user_collab,trending,session
random,0.25593,0.406,0.409,0.101,0.063,0.02,0.001
random,0.255719,0.37,0.416,0.104,0.057,0.049,0.004
random,0.255192,0.305,0.527,0.05,0.058,0.01,0.05
random,0.253922,0.282,0.602,0.081,0.01,0.009,0.017
random,0.251544,0.359,0.485,0.047,0.059,0.001,0.049
random,0.251491,0.331,0.56,0.018,0.011,0.032,0.048
random,0.251216,0.315,0.509,0.096,0.048,0.005,0.027
random,0.25073,0.189,0.22,0.069,0.448,0.067,0.007
random,0.250538,0.331,0.568,0.021,0.038,0.019,0.023
random,0.250282,0.299,0.512,0.003,0.064,0.048,0.075
random,0.249289,0.265,0.527,0.003,0.124,0.062,0.019
random,0.248972,0.292,0.637,0.034,0.012,0.025,0.0
random,0.248859,0.279,0.417,0.079,0.071,0.111,0.042
random,0.248256,0.354,0.434,0.074,0.0,0.073,0.066
random,0.248143,0.281,0.222,0.071,0.368,0.034,0.024
random,0.247975,0.276,0.44,0.007,0.145,0.042,0.089
random,0.247923,0.277,0.446,0.076,0.135,0.05,0.016
random,0.247788,0.328,0.467,0.136,0.038,0.02,0.011
random,0.247756,0.304,0.249,0.092,0.35,0.001,0.004
random,0.247547,0.244,0.545,0.022,0.101,0.038,0.049
random,0.247425,0.367,0.435,0.026,0.02,0.059,0.093
random,0.247218,0.41,0.465,0.006,0.076,0.008,0.035
random,0.247198,0.401,0.524,0.005,0.054,0.0,0.016
random,0.246635,0.23,0.174,0.078,0.471,0.033,0.015
random,0.246229,0.441,0.513,0.025,0.01,0.011,0.0
random,0.24622,0.371,0.367,0.119,0.13,0.01,0.003
random,0.246057,0.212,0.154,0.073,0.489,0.049,0.023
random,0.245934,0.226,0.684,0.01,0.009,0.002,0.069
random,0.245739,0.249,0.166,0.065,0.482,0.033,0.005
random,0.245629,0.239,0.463,0.132,0.002,0.113,0.051
random,0.245238,0.24,0.124,0.025,0.491,0.029,0.092
random,0.245061,0.112,0.26,0.122,0.485,0.018,0.002
random,0.244915,0.277,0.534,0.0,0.093,0.0,0.095
random,0.244914,0.193,0.128,0.096,0.559,0.021,0.003
random,0.244716,0.32,0.419,0.093,0.005,0.115,0.048
random,0.2444,0.278,0.43,0.101,0.143,0.02,0.029
random,0.244264,0.084,0.025,0.025,0.782,0.06,0.024
random,0.244138,0.245,0.161,0.128,0.454,0.009,0.003
random,0.244107,0.295,0.456,0.139,0.096,0.004,0.01
random,0.243965,0.259,0.469,0.062,0.188,0.011,0.011
random,0.24373,0.234,0.163,0.092,0.456,0.005,0.05
random,0.243657,0.247,0.498,0.138,0.019,0.073,0.024
random,0.243445,0.122,0.025,0.022,0.78,0.011,0.04
random,0.243403,0.222,0.106,0.143,0.505,0.01,0.014
random,0.243383,0.165,0.285,0.035,0.361,0.104,0.05
random,0.243237,0.121,0.057,0.055,0.758,0.0,0.009
random,0.242985,0.136,0.212,0.073,0.432,0.076,0.072
random,0.242946,0.369,0.46,0.06,0.013,0.009,0.09
random,0.242935,0.203,0.444,0.072,0.232,0.027,0.023
random,0.242728,0.312,0.396,0.019,0.039,0.056,0.177
random,0.242582,0.307,0.322,0.089,0.185,0.048,0.048
random,0.242435,0.225,0.399,0.047,0.106,0.096,0.126
random,0.242379,0.172,0.25,0.015,0.497,0.001,0.065
random,0.242257,0.187,0.239,0.099,0.364,0.03,0.081
random,0.242172,0.216,0.496,0.023,0.155,0.033,0.077
random,0.24217,0.478,0.451,0.0,0.039,0.009,0.022
random,0.242164,0.167,0.192,0.113,0.468,0.0,0.06
random,0.242066,0.162,0.636,0.103,0.04,0.03,0.029
random,0.24201,0.258,0.351,0.01,0.28,0.044,0.058
random,0.242002,0.15,0.085,0.03,0.641,0.023,0.072
random,0.241685,0.229,0.438,0.124,0.057,0.126,0.027
random,0.241591,0.202,0.135,0.011,0.496,0.068,0.087
random,0.241501,0.275,0.315,0.111,0.232,0.058,0.009
random,0.241468,0.18,0.113,0.063,0.612,0.022,0.01
