category_id,category,section_count
0ef00d5e-edd8-4708-84ce-fb46d471f94f,Murals,3
1874d4f2-bc80-4c8f-a116-32f5ee9f199a,Big Bus Tours Stops,11
5dbd356a-9eb3-4d13-8472-315652f4161f,Sports Venues,3
60f360a5-edc9-4df0-b618-782985396946,Hotels,133
62cb379b-afe0-4eee-b7c5-d8bb93abc088,Movie & TV Locations,8
73a6f729-b6f6-4518-b28a-e8101b831263,Parks,8
a4d707b8-d9b5-45cd-b8e9-4e7642ded04d,Attractions,47
a983cb1b-95cb-44df-aab0-5410b0623553,HOT SPOTS,52
ae72a1a9-ea1d-43f9-a8e5-4b0537018f4f,Bars,28
b3531d65-053c-420c-8b44-6076b45be5fa,Museums,20
c694d327-280e-42d0-906a-cc8ea3d5e85b,Restaurants,74
c6cb8f21-c328-4e3f-a9c5-1f85bca17d4d,Neighborhood Organizations,3
d9f34546-cb34-4f1f-88b8-fdc9955ba3e5,Shops,23
f9b15bb5-2599-4d3b-a116-c3bc7e1f668c,Theaters and Music Venues,17
fb563959-4cff-47bf-96ea-a4dd387b2e09,Favorites,0
